brand name,dosage form,generic,strength,manufacturer
Hexiphen,Tablet,Trihexyphenidyl Hydrochloride,2 mg,General Pharmaceuticals Ltd.
Hexiphen,Tablet,Trihexyphenidyl Hydrochloride,5 mg,General Pharmaceuticals Ltd.
Hexion,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Orion Pharma Ltd.
Hexinor,Tablet,Trihexyphenidyl Hydrochloride,5 mg,Beacon Pharmaceuticals Ltd.
Hexinor,Tablet,Trihexyphenidyl Hydrochloride,2 mg,Beacon Pharmaceuticals Ltd.
Hexinor,Syrup,Trihexyphenidyl Hydrochloride,2 mg/5 ml,Beacon Pharmaceuticals Ltd.
Hexinor,Tablet,Trihexyphenidyl Hydrochloride,1 mg,Beacon Pharmaceuticals Ltd.
Hexinaaf,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Naafco Pharma Ltd.
Heximax,Tablet,Trihexyphenidyl Hydrochloride,2 mg,Goodman Pharmaceuticals Ltd.
Heximax,Tablet,Trihexyphenidyl Hydrochloride,5 mg,Goodman Pharmaceuticals Ltd.
Hexilab,Hand Rub,Isopropyl Alcohol + Hydrogen Peroxide + Glycerol,75%+0.125%+1.45%,Labaid Pharma Ltd.
Hexil,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Al-Madina Pharmaceuticals Ltd.
Hexihygin,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Euro Pharma Ltd.
Hexigen,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Biogen Pharmaceuticals Ltd.
Hexigard,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Sharif Pharmaceuticals Ltd.
Hexidine,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Goodman Pharmaceuticals Ltd.
HexyClore,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Ibn Sina Pharmaceuticals Ltd.
Hexizen,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Zenith Pharmaceuticals Ltd.
Hexitane,Cream,Chlorhexidine Gluconate [1%],1%,ACI Limited
Hexisol,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,ACI Limited
Hexiscrub,Hand Rub,Chlorhexidine Gluconate [4%],4%,ACI Limited
Hexirub,Hand Rub,Isopropyl Alcohol + Hydrogen Peroxide + Glycerol,75%+0.125%+1.45%,Concord Pharmaceuticals Ltd.
Hexirest,Tablet,Trihexyphenidyl Hydrochloride,5 mg,Everest Pharmaceuticals Ltd.
Hexirest,Tablet,Trihexyphenidyl Hydrochloride,2 mg,Everest Pharmaceuticals Ltd.
Hexicord,Topical Solution,Chlorhexidine Gluconate [7.1%],7.10%,ACI Limited
Hexicon,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Concord Pharmaceuticals Ltd.
Hexaxim,SC Injection,"Diphtheria, Tetanus, Pertussis, Hepatitis B, Poliomyelitis, Influenzae Vaccine",0.5 ml/prefilled syringe,Synovia pharma plc
Hexasia,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Pharmasia Limited
Hexaplex,Syrup,Vitamin B complex,,Jayson Pharmaceuticals Ltd.
Hertinib,Tablet,Neratinib,40 mg,Drug International Ltd.
Hi-mox,Powder for Suspension,Amoxicillin Trihydrate,125 mg/5 ml,Hudson Pharmaceuticals Ltd.
Hi-mox,Capsule,Amoxicillin Trihydrate,250 mg,Hudson Pharmaceuticals Ltd.
Hi-met,Tablet,Metformin Hydrochloride,850 mg,Hudson Pharmaceuticals Ltd.
Hi-Lac,Tablet,Ketorolac Tromethamine,10 mg,Hudson Pharmaceuticals Ltd.
Hi-Floxin,Tablet,Ciprofloxacin,500 mg,Hudson Pharmaceuticals Ltd.
Hi-Flow D,Capsule,Tamsulosin Hydrochloride + Dutasteride,0.4 mg+0.5 mg,Popular Pharmaceuticals Ltd.
Hi-Flow,Capsule (Modified Release),Tamsulosin  Hydrochloride,0.4 mg,Popular Pharmaceuticals Ltd.
Hi-Fenac TR,Capsule (Timed Release),Diclofenac Sodium,100 mg,Hudson Pharmaceuticals Ltd.
Hi-Fenac,Tablet,Diclofenac Sodium,50 mg,Hudson Pharmaceuticals Ltd.
Hi-D,Capsule,Colecalciferol [Vitamin D3],20000 IU,Popular Pharmaceuticals Ltd.
Hi-D,Capsule,Colecalciferol [Vitamin D3],40000 IU,Popular Pharmaceuticals Ltd.
Hi-D,Tablet,Colecalciferol [Vitamin D3],2000 IU,Popular Pharmaceuticals Ltd.
Hi-D,IM Injection,Colecalciferol [Vitamin D3],200000 IU/ml,Popular Pharmaceuticals Ltd.
Hi-clox,Capsule,Cloxacillin Sodium,500 mg,Hudson Pharmaceuticals Ltd.
Hi-clox,Powder for Suspension,Cloxacillin Sodium,125 mg/5 ml,Hudson Pharmaceuticals Ltd.
Hi-cef,Capsule,Cephalexin,500 mg,Hudson Pharmaceuticals Ltd.
Hiconcil,Capsule,Amoxicillin Trihydrate,500 mg,Medimet Pharmaceuticals Ltd.
Hiconcil,Powder for Suspension,Amoxicillin Trihydrate,125 mg/5 ml,Medimet Pharmaceuticals Ltd.
Hiconcil,Capsule,Amoxicillin Trihydrate,250 mg,Medimet Pharmaceuticals Ltd.
Hiberix,Injection,Haemophilus Influenzae Type B Vaccine [Conjugated],10 mcg/0.5 ml,GlaxoSmithKline
Hi-Vol,IV Infusion,Hydroxyethyl Starch + Sodium Chloride,6%+0.9%,Popular Pharmaceuticals Ltd.
Hi-Trol,Tablet,Cetirizine Hydrochloride,10 mg,Hudson Pharmaceuticals Ltd.
Hi-Trol,Syrup,Cetirizine Hydrochloride,5 mg/5 ml,Hudson Pharmaceuticals Ltd.
Hi-mox DS,Capsule,Amoxicillin Trihydrate,500 mg,Hudson Pharmaceuticals Ltd.
Hi-cef,Powder for Suspension,Cephalexin,125 mg/5 ml,Hudson Pharmaceuticals Ltd.
Hi-C,Syrup,Vitamin C [Ascorbic acid],100 mg/5 ml,Eskayef Pharmaceuticals Ltd.
Hi Tac,Tablet,Ranitidine Hydrochloride,150 mg,Hudson Pharmaceuticals Ltd.
Hi Gel,Chewable Tablet,Aluminium Hydroxide + Magnesium Hydroxide,250 mg+400 mg,Hudson Pharmaceuticals Ltd.
Hi Floxin,Tablet,Sulphamethoxazole + Trimethoprim,400 mg+80 mg,Hudson Pharmaceuticals Ltd.
Hi Floxin,Oral Suspension,Sulphamethoxazole + Trimethoprim,(200 mg+40 mg)/5 ml,Hudson Pharmaceuticals Ltd.
Histal,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Opsonin Pharma Ltd.
Histafen,Tablet,Fexofenadine Hydrochloride,120 mg,Jayson Pharmaceuticals Ltd.
Histadyl,Tablet,Chlorpheniramine Maleate,4 mg,Rephco Pharmaceuticals Ltd.
Histadyl,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Rephco Pharmaceuticals Ltd.
Histaco,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Supreme Pharmaceutical Ltd.
Histacin,Injection,Chlorpheniramine Maleate,10 mg/ml,Jayson Pharmaceuticals Ltd.
Histacin,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Jayson Pharmaceuticals Ltd.
Histacin,Tablet,Chlorpheniramine Maleate,4 mg,Jayson Pharmaceuticals Ltd.
Histacet,Tablet,Cetirizine Hydrochloride,10 mg,Medimet Pharmaceuticals Ltd.
Histacet,Syrup,Cetirizine Hydrochloride,5 mg/5 ml,Medimet Pharmaceuticals Ltd.
Hison,IM/IV Injection,Hydrocortisone,100 mg/2 ml,ACI Limited
Hisnul,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Somatec Pharmaceuticals Ltd.
Hiprex,Tablet,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,Kumudini Pharma Ltd.
Hipre Plus,Tablet,Amlodipine Besilate + Atenolol,5 mg+50 mg,Pacific Pharmaceuticals Ltd.
Hipre,Tablet,Amlodipine Besilate,10 mg,Pacific Pharmaceuticals Ltd.
Hipre,Tablet,Amlodipine Besilate,5 mg,Pacific Pharmaceuticals Ltd.
Histalex,Tablet,Chlorpheniramine Maleate,4 mg,ACME Laboratories Ltd.
Histalex,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,ACME Laboratories Ltd.
Histal,Tablet,Chlorpheniramine Maleate,4 mg,Opsonin Pharma Ltd.
Hiprazole,Tablet (Enteric Coated),Pantoprazole Sodium Sesquihydrate,20 mg,Hudson Pharmaceuticals Ltd.
Hiposul,Syrup,Vitamin B complex,,Gaco Pharmaceuticals Ltd.
Hiposul,IM/IV Injection,Vitamin B complex,,Gaco Pharmaceuticals Ltd.
Hipomax,Tablet,Methenamine Hippurate,1 gm,Nuvista Pharma Ltd.
Hiflox-XR,Tablet (Extended Release),Ciprofloxacin,1000 mg,Ambee Pharmaceuticals Ltd.
Hiflox,Powder for Suspension,Ciprofloxacin,250 mg/5 ml,Ambee Pharmaceuticals Ltd.
Hiflox,Tablet,Ciprofloxacin,500 mg,Ambee Pharmaceuticals Ltd.
Hiflox,Tablet,Ciprofloxacin,750 mg,Ambee Pharmaceuticals Ltd.
Hifenac,Tablet,Aceclofenac,100 mg,Doctor TIMS Pharmaceuticals Ltd.
Hidin,Ointment,Povidone Iodine,5% w/w,Medicon Pharmaceuticals Ltd.
Hidin,Mouthwash,Povidone Iodine,1% w/v,Medicon Pharmaceuticals Ltd.
HMG,IM/SC Injection,Human Menopausal Gonadotrophin,75 IU/vial,Popular Pharmaceuticals Ltd.
HK,Capsule (Delayed Release),Omeprazole,20 mg,Apollo Pharmaceutical Ltd.
Hizin,Syrup,Vitamin B Complex + Zinc,,Monicopharma Ltd.
Hitflam-SR,Tablet (Sustained Release),Diclofenac Sodium,100 mg,Ambee Pharmaceuticals Ltd.
Hitflam,IM Injection,Diclofenac Sodium,75 mg/3 ml,Ambee Pharmaceuticals Ltd.
Hitflam,Tablet,Diclofenac Sodium,50 mg,Ambee Pharmaceuticals Ltd.
Hitagen,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,General Pharmaceuticals Ltd.
Hitagen,Tablet,Chlorpheniramine Maleate,4 mg,General Pharmaceuticals Ltd.
Histosin,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Aexim Pharmaceuticals Ltd.
Histosin,Tablet,Chlorpheniramine Maleate,4 mg,Aexim Pharmaceuticals Ltd.
Histin,Tablet,Chlorpheniramine Maleate,4 mg,Apollo Pharmaceutical Ltd.
Histin,Oral Solution,Promethazine Hydrochloride,5 mg/5 ml,Apollo Pharmaceutical Ltd.
Histerzin,Oral Solution,Promethazine Hydrochloride,5 mg/5 ml,Edruc Limited
Histavil,Oral Solution,Promethazine Hydrochloride,5 mg/5 ml,Pacific Pharmaceuticals Ltd.
Histatab,Tablet,Chlorpheniramine Maleate,4 mg,Bristol Pharmaceuticals Ltd.
Histason,Tablet,Chlorpheniramine Maleate,4 mg,Hudson Pharmaceuticals Ltd.
Holoxan,IV Infusion,Ifosfamide,2 gm/vial,Baxter
Holicef,IM Injection,Ceftriaxone Sodium,1 gm/vial,Concord Pharmaceuticals Ltd.
Holicef,IV Injection,Ceftriaxone Sodium,1 gm/vial,Concord Pharmaceuticals Ltd.
Holicef,IM Injection,Ceftriaxone Sodium,250 mg/vial,Concord Pharmaceuticals Ltd.
Holicef,IM Injection,Ceftriaxone Sodium,500 mg/vial,Concord Pharmaceuticals Ltd.
Holicef,IV Injection,Ceftriaxone Sodium,500 mg/vial,Concord Pharmaceuticals Ltd.
Holicef,IV Injection,Ceftriaxone Sodium,2 gm/vial,Concord Pharmaceuticals Ltd.
Histason,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Hudson Pharmaceuticals Ltd.
Histasip,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Aztec Pharmaceuticals Ltd.
Histaphen,Oral Solution,Promethazine Hydrochloride,5 mg/5 ml,Seema Pharmaceuticals Ltd.
Histanol,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Chemist Laboratories  Ltd.
Histanol,Tablet,Chlorpheniramine Maleate,4 mg,Chemist Laboratories  Ltd.
Histamin,Syrup,Chlorpheniramine Maleate,2 mg/5 ml,Reliance Pharmaceuticals Ltd.
Histamin,Tablet,Chlorpheniramine Maleate,4 mg,Reliance Pharmaceuticals Ltd.
Humalog Mix,SC Injection,Insulin Lispro Protamine + Insulin Lispro,75%+25%,Eli Lilly and Company
Humalog,SC Injection,Insulin Lispro,100 unit/ml,Eli Lilly and Company
Humalog,SC Injection,Insulin Lispro,100 unit/ml,Eli Lilly and Company
Humaglobin,IV Injection or Infusion,Human Immunoglobulin-G [IgG],250 mg/5 ml,City Overseas Ltd.
Humaglobin,IV Injection or Infusion,Human Immunoglobulin-G [IgG],500 mg/10 ml,City Overseas Ltd.
HTZ,Tablet,Hydrochlorothiazide,25 mg,UniMed UniHealth
HPR-DS,Tablet,Mefenamic acid,500 mg,Pacific Pharmaceuticals Ltd.
HPR,Oral Suspension,Mefenamic acid,50 mg/5 ml,Pacific Pharmaceuticals Ltd.
HPR,Tablet,Mefenamic acid,250 mg,Pacific Pharmaceuticals Ltd.
HPC DS,IM Injection,Hydroxyprogesterone Caproate,500 mg/2 ml,Popular Pharmaceuticals Ltd.
HPC,IM Injection,Hydroxyprogesterone Caproate,250 mg/ml,Popular Pharmaceuticals Ltd.
Hopso-VL,Tablet,Sofosbuvir + Velpatasvir,400 mg+100 mg,Drug International Ltd.
Hopso-LP,Tablet,Ledipasvir + Sofosbuvir,90 mg+400 mg,Drug International Ltd.
HopSo,Tablet,Sofosbuvir,400 mg,Drug International Ltd.
Hopetavir,Tablet,Sofosbuvir,400 mg,Incepta Pharmaceuticals Ltd.
Honycol,Syrup,Glycerol + Liquid Sugar,(0.75 ml+1.93 ml)/5 ml,Renata Limited
Humulin R,SC Injection,Insulin Human [Fast-Acting],100 IU/ml,Eli Lilly and Company
Humulin N,SC Injection,Insulin Human [Long-Acting],100 IU/ml,Eli Lilly and Company
Humulin N,SC Injection,Insulin Human [Long-Acting],100 IU/ml,Eli Lilly and Company
Humulin,SC Injection,Insulin Human [rDNA] + Isophane Insulin Human,30%+70% in 100 IU/ml,Eli Lilly and Company
Humulin,SC Injection,Insulin Human [rDNA] + Isophane Insulin Human,30%+70% in 100 IU/ml,Eli Lilly and Company
Humphry,Tablet,Calcium Orotate,740 mg,Beacon Pharmaceuticals Ltd.
Humphry,Tablet,Calcium Orotate,400 mg,Beacon Pharmaceuticals Ltd.
Human Albumin,IV Infusion,Albumin (Human),20%,City Overseas Ltd.
Human Albumin,IV Infusion,Albumin (Human),20%,CSL Behring
Humalog Mix,SC Injection,Insulin Lispro Protamine + Insulin Lispro,50%+50%,Eli Lilly and Company
Humalog Mix,SC Injection,Insulin Lispro Protamine + Insulin Lispro,75%+25%,Eli Lilly and Company
Humalog Mix,SC Injection,Insulin Lispro Protamine + Insulin Lispro,50%+50%,Eli Lilly and Company
Homatropine,Ophthalmic Solution,Homatropine Hydrobromide,2%,Reman Drug Laboratories Ltd.
Holoxan,IV Infusion,Ifosfamide,1 gm/vial,Baxter
HYLO-GEL,Ophthalmic Gel,Sodium Hyaluronate (Ophthalmic),0.20%,ZAS Corporation
HYLO-COMOD,Ophthalmic Solution,Sodium Hyaluronate (Ophthalmic),0.10%,ZAS Corporation
Hyginol,Solution,Chlorhexidine Gluconate + Cetrimide,0.3%+3%,Millat Pharmaceuticals Ltd.
Hyginol,Cream,Chlorhexidine Hydrochloride + Cetrimide,0.1%+0.5%,Millat Pharmaceuticals Ltd.
Hyginex Plus,Hand Rub,Chlorhexidine Gluconate + Isopropyl alcohol,0.5%+70%,Beacon Pharmaceuticals Ltd.
Hyginex,Hand Rub,Ethyl Alcohol + Hydrogen peroxide + Glycerol,96%+3%+98%,Beacon Pharmaceuticals Ltd.
Hygea Gold,Tablet,Multivitamin & Multimineral [A-Z gold preparation],,Somatec Pharmaceuticals Ltd.
Hydroquin,Tablet,Hydroxychloroquine Sulphate,200 mg,Ibn Sina Pharmaceuticals Ltd.
Hydronix,Capsule,Hydroxyurea,500 mg,Beacon Pharmaceuticals Ltd.
Hydromer,Ophthalmic Gel,Hypromellose,0.30%,Ibn Sina Pharmaceuticals Ltd.
Hydrocortisone,IM/IV Injection,Hydrocortisone,100 mg/2 ml,"Rotexmedica GmbH, Germany"
Hydrocort,Cream,Hydrocortisone Acetate,1%,Alco Pharma Ltd.
Hydrocid,Oral Suspension,Aluminium Hydroxide + Magnesium Hydroxide,(175 mg+225 mg)/5 ml,Millat Pharmaceuticals Ltd.
Hydrason,Tablet,Hydrocortisone,20 mg,Drug International Ltd.
Hydrason,Tablet,Hydrocortisone,10 mg,Drug International Ltd.
Hydrason,IM/IV Injection,Hydrocortisone,100 mg/2 ml,Drug International Ltd.
Hypersol,Ophthalmic Solution,Sodium Chloride (Ophthalmic Solution),5%,Beximco Pharmaceuticals Ltd.
Hyperoxi,Solution,Hydrogen peroxide,12 ml/100 ml,Momotaz Pharmaceuticals Ltd.
Hypen SR,Tablet (Sustained Release),Indapamide,1.5 mg,Opsonin Pharma Ltd.
Hypace,Tablet,Ramipril,5 mg,Techno Drugs Ltd.
Hyloron,Ophthalmic Solution,Sodium Hyaluronate (Ophthalmic),0.10%,Aristopharma Ltd.
Hyloron,Ophthalmic Gel,Sodium Hyaluronate (Ophthalmic),0.20%,Aristopharma Ltd.
Hybucin,Tablet,Hyoscine Butylbromide,10 mg,Supreme Pharmaceutical Ltd.
Hybrox,Pediatric Drops,Ambroxol Hydrochloride,6 mg/ml,Kemiko Pharmaceuticals Ltd.
Hybrox,Syrup,Ambroxol Hydrochloride,15 mg/5 ml,Kemiko Pharmaceuticals Ltd.
Hybrox,Capsule (Sustained Release),Ambroxol Hydrochloride,75 mg,Kemiko Pharmaceuticals Ltd.
Hyalgun,Intra-articular Injection,Sodium Hyaluronate (Injection),0.20%,Healthcare Pharmaceuticals Ltd.
Hunycof,Syrup,Glycerol + Liquid Sugar,(0.75 ml+1.93 ml)/5 ml,Incepta Pharmaceuticals Ltd.
Hunny,Syrup,Glycerol + Liquid Sugar,(0.75 ml+1.93 ml)/5 ml,Eskayef Pharmaceuticals Ltd.
Humulin R,SC Injection,Insulin Human [Fast-Acting],100 IU/ml,Eli Lilly and Company
Hyxim,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Millat Pharmaceuticals Ltd.
Hyxim,Capsule,Cefixime Trihydrate,200 mg,Millat Pharmaceuticals Ltd.
Hysopan,Injection,Hyoscine Butylbromide,20 mg/ml,Rephco Pharmaceuticals Ltd.
Hysomide,Tablet,Hyoscine Butylbromide,20 mg,Opsonin Pharma Ltd.
Hysomide,Injection,Hyoscine Butylbromide,20 mg/ml,Opsonin Pharma Ltd.
Hysomide,Tablet,Hyoscine Butylbromide,10 mg,Opsonin Pharma Ltd.
Hysoma,Tablet,Hyoscine Butylbromide,10 mg,Modern Pharmaceuticals Ltd.
Hysocin,Tablet,Hyoscine Butylbromide,10 mg,Pharmadesh Laboratories Ltd.
Hysin,Injection,Hyoscine Butylbromide,20 mg/ml,Edruc Limited
Hysin,Tablet,Hyoscine Butylbromide,10 mg,Edruc Limited
Hyronate,Intra-articular Injection,Sodium Hyaluronate (Injection),0.20%,Incepta Pharmaceuticals Ltd.
Hyronate,Ophthalmic Solution,Sodium Hyaluronate (Ophthalmic),0.10%,Incepta Pharmaceuticals Ltd.
Hyprosol,Ophthalmic Solution,Hypromellose,0.30%,Beximco Pharmaceuticals Ltd.
Hyprogel,Ophthalmic Gel,Hypromellose,0.30%,Popular Pharmaceuticals Ltd.
Hypro Extra,Ophthalmic Gel,Carboxymethylcellulose Sodium + Hypromellose,0.25%+0.3%,Nipa Pharmaceuticals Ltd.
Hypro,Ophthalmic Solution,Hypromellose,0.50%,Nipa Pharmaceuticals Ltd.
I-Aqua,Ophthalmic Solution,Carboxymethylcellulose Sodium,1%,Apex Pharmaceuticals Ltd.
I Care,Eye Capsule,"Vitamin C, Vitamin E, Lutein, Copper & Zinc",,Pacific Pharmaceuticals Ltd.
Hyzith,Tablet,Azithromycin Dihydrate,500 mg,Millat Pharmaceuticals Ltd.
Hyzith,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Millat Pharmaceuticals Ltd.
Hypoten,Tablet,Amlodipine Besilate,5 mg,Cosmic Pharma Ltd.
Hypose,Ophthalmic Solution,Hypromellose,0.30%,Pacific Pharmaceuticals Ltd.
Hypophos,Tablet,Calcium Acetate,667 mg,Popular Pharmaceuticals Ltd.
Hyponor,IV Infusion,Norepinephrine,2 mg/2 ml,Square Pharmaceuticals Ltd.
Hypomer,Ophthalmic Gel,Hypromellose + Carbomer,0.3%+0.22%,Aristopharma Ltd.
Hypnofast,IM/IV Injection,Midazolam,5 mg/ml,Incepta Pharmaceuticals Ltd.
Hypnofast,IM/IV Injection,Midazolam,15 mg/3 ml,Incepta Pharmaceuticals Ltd.
Hypnofast,Tablet,Midazolam,7.5 mg,Incepta Pharmaceuticals Ltd.
Hypnocum,Tablet,Midazolam,7.5 mg,Healthcare Pharmaceuticals Ltd.
Hypezide,Tablet,Hydrochlorothiazide,50 mg,Pacific Pharmaceuticals Ltd.
Ibida,Tablet,Rifaximin,550 mg,Healthcare Pharmaceuticals Ltd.
Ibida,Tablet,Rifaximin,200 mg,Healthcare Pharmaceuticals Ltd.
IBF,Tablet,Ibuprofen,400 mg,Decent Pharma Laboratories Ltd.
Iben,Tablet,Ibuprofen,400 mg,Central Pharmaceuticals Ltd.
Iben,Tablet,Ibuprofen,400 mg,Zenith Pharmaceuticals Ltd.
Ibandron,Tablet,Ibandronic Acid,150 mg,Aristopharma Ltd.
Ibancal kit,Tablet,Ibandronic Acid & Calcium Orotate,150 mg & 400 mg,General Pharmaceuticals Ltd.
Ibakin,Tablet,Imatinib Mesylate,400 mg,Genvio Pharma Ltd.
Ibakin,Tablet,Imatinib Mesylate,100 mg,Genvio Pharma Ltd.
I-Zol,Capsule,Itraconazole,100 mg,Popular Pharmaceuticals Ltd.
I-Vita,Eye Capsule,"Vitamin C, Vitamin E, Lutein, Copper & Zinc",,Opsonin Pharma Ltd.
I-Ver,Tablet,Ivermectin (Tablet),6 mg,Globe Pharmaceuticals Ltd.
I-Sol,Ophthalmic Solution,Sodium Chloride (Ophthalmic Solution),5%,Opso Saline Ltd.
I-Proton,Capsule (Delayed Release),Omeprazole,20 mg,Doctor TIMS Pharmaceuticals Ltd.
I-POP,Tablet,Domperidone Maleate,10 mg,Doctor TIMS Pharmaceuticals Ltd.
I-Pill DS,Tablet,Levonorgestrel,1.5 mg,Popular Pharmaceuticals Ltd.
Ibsan,Tablet,Irbesartan,75 mg,ACME Laboratories Ltd.
Ibruxen,Capsule,Ibrutinib,140 mg,Everest Pharmaceuticals Ltd.
Ibrutix,Capsule,Ibrutinib,140 mg,Beacon Pharmaceuticals Ltd.
Ibrutab,Capsule,Ibrutinib,140 mg,Eskayef Pharmaceuticals Ltd.
Ibrunib,Capsule,Ibrutinib,140 mg,Jenphar Bangladesh Ltd.
Ibrucent,Capsule,Ibrutinib,140 mg,Incepta Pharmaceuticals Ltd.
I-Penam,IV Injection or Infusion,Meropenem Trihydrate,250 mg/vial,Incepta Pharmaceuticals Ltd.
I-Penam,IV Injection or Infusion,Meropenem Trihydrate,1 gm/vial,Incepta Pharmaceuticals Ltd.
I-Penam,IV Injection or Infusion,Meropenem Trihydrate,500 mg/vial,Incepta Pharmaceuticals Ltd.
I-Guard,Ophthalmic Solution,Chloramphenicol (Ophthalmic),0.50%,Incepta Pharmaceuticals Ltd.
I-Gold,Eye Capsule,"Vitamin C, Vitamin E, Lutein, Copper & Zinc",,Aristopharma Ltd.
I-Fort,Ophthalmic Solution,Polyethylene Glycol + Propylene Glycol,0.4%+0.3%,Biopharma Laboratories Ltd.
I-Fol,Tablet,Ferrous Fumarate + Folic acid,200 mg+200 mcg,Indo Bangla Pharmaceutical
I-Cin,Capsule,Indomethacin (Oral),25 mg,Indo Bangla Pharmaceutical
IG VENA,IV Injection or Infusion,Human Immunoglobulin-G [IgG],5 gm/100 ml,"Kedrion Biopharma, Italy"
IG VENA,IV Injection or Infusion,Human Immunoglobulin-G [IgG],2.5 gm/50 ml,"Kedrion Biopharma, Italy"
Ifozin-SR,Capsule (Sustained Release),Ferrous Sulfate + Folic Acid + Zinc Sulfate,150 mg+0.5 mg+61.8 mg,Ibn Sina Pharmaceuticals Ltd.
Ifomes,IV Injection,Mesna,400 mg/4 ml,Beacon Pharmaceuticals Ltd.
Ifel-TR,Capsule (Timed Release),Ferrous Sulfate + Folic Acid + Zinc Sulfate,150 mg+0.5 mg+61.8 mg,Pharmadesh Laboratories Ltd.
Ifamide & Mesna,IV Infusion,Ifosfamide,2 gm & 1600 mg,Techno Drugs Ltd.
Ifamide & Mesna,IV Infusion,Ifosfamide,1 gm & 800 mg,Techno Drugs Ltd.
Idrofos Kit,Tablet,Ibandronic Acid + Calcium Carbonate + Vitamin D3,150 mg+500 mg+200 IU,Sun Pharmaceutical Ltd.
Idiopag,Tablet,Eltrombopag Olamine,50 mg,Healthcare Pharmaceuticals Ltd.
Idiopag,Tablet,Eltrombopag Olamine,25 mg,Healthcare Pharmaceuticals Ltd.
Idatix SR,Tablet (Sustained Release),Indapamide,1.5 mg,Incepta Pharmaceuticals Ltd.
Icykool Max,Cream,Methyl Salicylate + Menthol,30%+8%,Beximco Pharmaceuticals Ltd.
Icykool,Cream,Methyl Salicylate + Menthol,15%+10%,Beximco Pharmaceuticals Ltd.
Iconal,Capsule,Itraconazole,100 mg,Kemiko Pharmaceuticals Ltd.
Icol,Ophthalmic Solution,Chloramphenicol (Ophthalmic),0.50%,ACI Limited
Iclear,Ophthalmic Solution,Hypromellose,0.30%,Navana Pharmaceuticals Ltd.
Ilodon,Tablet,Iloperidone,6 mg,Beacon Pharmaceuticals Ltd.
Ilodon,Tablet,Iloperidone,2 mg,Beacon Pharmaceuticals Ltd.
Ilocin,Powder for Suspension,Erythromycin (Oral),125 mg/5 ml,Doctor’s Chemical Works Ltd.
Ilocin,Tablet,Erythromycin (Oral),500 mg,Doctor’s Chemical Works Ltd.
Icid,Ophthalmic Solution,Sulfacetamide sodium,20%,Nipa Pharmaceuticals Ltd.
Icid,Ophthalmic Solution,Sulfacetamide sodium,10%,Nipa Pharmaceuticals Ltd.
Icefil,Ophthalmic Solution,Polyethylene Glycol + Propylene Glycol,0.4%+0.3%,Opsonin Pharma Ltd.
Icaft,Ophthalmic Solution,Alcaftadine,0.25%,Navana Pharmaceuticals Ltd.
Ibutigen,Capsule,Ibrutinib,140 mg,General Pharmaceuticals Ltd.
Iburex,Tablet,Ibuprofen,200 mg,Medimet Pharmaceuticals Ltd.
Iburex,Tablet,Ibuprofen,400 mg,Medimet Pharmaceuticals Ltd.
Ibspa,Syrup,Dicycloverine Hydrochloride,10 mg/5 ml,Pacific Pharmaceuticals Ltd.
Ibspa,Tablet,Dicycloverine Hydrochloride,10 mg,Pacific Pharmaceuticals Ltd.
Imaxen,Tablet,Imatinib Mesylate,100 mg,Everest Pharmaceuticals Ltd.
Imaxen,Tablet,Imatinib Mesylate,400 mg,Everest Pharmaceuticals Ltd.
iMAX,Capsule (Delayed Release),Esomeprazole,40 mg,Delta Pharma Ltd.
iMAX,Capsule (Delayed Release),Esomeprazole,20 mg,Delta Pharma Ltd.
Imatin,Tablet,Imatinib Mesylate,100 mg,Techno Drugs Ltd.
Imatin,Tablet,Imatinib Mesylate,400 mg,Techno Drugs Ltd.
